種別,番号,大学名
国立大学,1,北海道大学
国立大学,2,北海道教育大学
国立大学,3,室蘭工業大学
国立大学,4,小樽商科大学
国立大学,5,帯広畜産大学
国立大学,6,旭川医科大学
国立大学,7,北見工業大学
国立大学,8,弘前大学
国立大学,9,岩手大学
国立大学,10,東北大学
国立大学,11,宮城教育大学
国立大学,12,秋田大学
国立大学,13,山形大学
国立大学,14,福島大学
国立大学,15,茨城大学
国立大学,16,筑波大学
国立大学,17,筑波技術大学
国立大学,18,宇都宮大学
国立大学,19,群馬大学
国立大学,20,埼玉大学
国立大学,21,千葉大学
国立大学,22,東京大学
国立大学,23,東京医科歯科大学
国立大学,24,東京外国語大学
国立大学,25,東京学芸大学
国立大学,26,東京農工大学
国立大学,27,東京芸術大学
国立大学,28,東京工業大学
国立大学,29,東京海洋大学
国立大学,30,お茶の水女子大学
国立大学,31,電気通信大学
国立大学,32,一橋大学
国立大学,33,横浜国立大学
国立大学,34,新潟大学
国立大学,35,長岡技術科学大学
国立大学,36,上越教育大学
国立大学,37,富山大学
国立大学,38,金沢大学
国立大学,39,福井大学
国立大学,40,山梨大学
国立大学,41,信州大学
国立大学,42,岐阜大学
国立大学,43,静岡大学
国立大学,44,浜松医科大学
国立大学,45,名古屋大学
国立大学,46,愛知教育大学
国立大学,47,名古屋工業大学
国立大学,48,豊橋技術科学大学
国立大学,49,三重大学
国立大学,50,滋賀大学
国立大学,51,滋賀医科大学
国立大学,52,京都大学
国立大学,53,京都教育大学
国立大学,54,京都工芸繊維大学
国立大学,55,大阪大学
国立大学,56,大阪教育大学
国立大学,57,兵庫教育大学
国立大学,58,神戸大学
国立大学,59,奈良教育大学
国立大学,60,奈良女子大学
国立大学,61,和歌山大学
国立大学,62,鳥取大学
国立大学,63,島根大学
国立大学,64,岡山大学
国立大学,65,広島大学
国立大学,66,山口大学
国立大学,67,徳島大学
国立大学,68,鳴門教育大学
国立大学,69,香川大学
国立大学,70,愛媛大学
国立大学,71,高知大学
国立大学,72,福岡教育大学
国立大学,73,九州大学
国立大学,74,九州工業大学
国立大学,75,佐賀大学
国立大学,76,長崎大学
国立大学,77,熊本大学
国立大学,78,大分大学
国立大学,79,宮崎大学
国立大学,80,鹿児島大学
国立大学,81,鹿屋体育大学
国立大学,82,琉球大学
国立大学,83,政策研究大学院大学
国立大学,84,総合研究大学院大学
国立大学,85,北陸先端科学技術大学院大学
国立大学,86,奈良先端科学技術大学院大学
公立大学,1,釧路公立大学
公立大学,2,公立千歳科学技術大学
公立大学,3,公立はこだて未来大学
公立大学,4,札幌医科大学
公立大学,5,札幌市立大学
公立大学,6,名寄市立大学
公立大学,7,青森県立保健大学
公立大学,8,青森公立大学
公立大学,9,岩手県立大学
公立大学,10,宮城大学
公立大学,11,秋田県立大学
